ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
25,Rome,Internazionali BNL d'Italia,06/05/2026,Masters 1000,Outdoor,Clay,1st Round,3,Kopriva V.,Marozsan F.,55,49,896,975,6,3,6,3,,"	",,,,,2,0,Completed,2.3,1.62,,,2.38,1.67,2.28,1.6,2.4,1.7
25,Rome,Internazionali BNL d'Italia,06/05/2026,Masters 1000,Outdoor,Clay,1st Round,3,Baez S.,Brooksby J.,65,63,840,862,6,3,7,6,,"	",,,,,2,0,Completed,1.25,4,,,1.29,4,1.26,3.75,1.31,4.1
25,Rome,Internazionali BNL d'Italia,06/05/2026,Masters 1000,Outdoor,Clay,1st Round,3,Altmaier D.,Zhang Zh.,64,239,860,240,4,6,7,6,6,4,,,,,2,1,Completed,1.57,2.38,,,1.57,2.5,1.54,2.41,1.66,2.48
25,Rome,Internazionali BNL d'Italia,06/05/2026,Masters 1000,Outdoor,Clay,1st Round,3,Dzumhur D.,Mannarino A.,87,45,674,1035,6,4,6,0,"	",,,,,,2,0,Completed,1.3,3.5,,,1.33,3.75,1.29,3.49,1.36,3.7
25,Rome,Internazionali BNL d'Italia,06/05/2026,Masters 1000,Outdoor,Clay,1st Round,3,Svajda Z.,Trungelliti M.,90,78,666,743,0,6,6,4,7,6,,,,,2,1,Completed,3.5,1.3,,,3.5,1.36,3.18,1.34,3.5,1.39
25,Rome,Internazionali BNL d'Italia,06/05/2026,Masters 1000,Outdoor,Clay,1st Round,3,Shevchenko A.,Ugo Carabelli C.,85,61,698,865,6,3,4,6,7,6,,,,,2,1,Completed,3,1.4,,,3,1.44,2.82,1.41,3,1.49
25,Rome,Internazionali BNL d'Italia,06/05/2026,Masters 1000,Outdoor,Clay,1st Round,3,Hanfmann Y.,Hurkacz H.,59,53,879,930,6,7,7,6,6,2,,,,,2,1,Completed,2.75,1.44,,,3,1.45,2.74,1.43,3,1.49
25,Rome,Internazionali BNL d'Italia,06/05/2026,Masters 1000,Outdoor,Clay,1st Round,3,Van De Zandschulp B.,Muller A.,54,105,898,601,7,5,6,3,,"	",,,,,2,0,Completed,1.67,2.2,,,1.67,2.28,1.65,2.2,1.72,2.36
25,Rome,Internazionali BNL d'Italia,06/05/2026,Masters 1000,Outdoor,Clay,1st Round,3,Struff J.L.,Comesana F.,302,114,216,570,6,2,6,4,"	",,,,,,2,0,Completed,2.75,1.44,,,2.8,1.5,2.69,1.45,2.8,1.54
25,Rome,Internazionali BNL d'Italia,06/05/2026,Masters 1000,Outdoor,Clay,1st Round,3,Arnaldi M.,Munar J.,106,38,596,1155,6,3,3,6,6,3,,,,,2,1,Completed,1.67,2.2,,,1.73,2.25,1.66,2.19,1.76,2.28
